,Loss,S1,S2,S2_Call,S1_Call,S2_Put,S1_Put,Date,Symbol
23,-1542.9999999999998,155.0,162.5,2.095,-10.024999999999999,-0.005,0.005,2023-04-06,AAPL
89,-1542.9999999999998,155.0,162.5,2.095,-10.024999999999999,-0.005,0.005,2023-04-14,AAPL
155,-1542.9999999999998,155.0,162.5,2.095,-10.024999999999999,-0.005,0.005,2023-04-21,AAPL
221,-1542.9999999999998,155.0,162.5,2.095,-10.024999999999999,-0.005,0.005,2023-04-28,AAPL
230,-1542.5,157.5,165.0,0.005,-7.475,-0.45999999999999996,0.005,2023-04-28,AAPL
98,-1542.5,157.5,165.0,0.005,-7.475,-0.45999999999999996,0.005,2023-04-14,AAPL
164,-1542.5,157.5,165.0,0.005,-7.475,-0.45999999999999996,0.005,2023-04-21,AAPL
32,-1542.5,157.5,165.0,0.005,-7.475,-0.45999999999999996,0.005,2023-04-06,AAPL
172,-1538.5000000000002,160.0,167.5,0.005,-4.425000000000001,-3.4699999999999998,0.005,2023-04-21,AAPL
238,-1538.5000000000002,160.0,167.5,0.005,-4.425000000000001,-3.4699999999999998,0.005,2023-04-28,AAPL
